Unnamed: 0,ids,audio_file_created,failed
0,KF2Bi1CXzbI,0,1
1,I98JI-6q05c,0,1
3,Rc7WQn7I6yY,0,1
4,2Z9TdHmr3Oc,0,1
5,QOvgJiRWbtc,0,1
6,Q_5i9t66hfg,0,0
8,-w8mprn9nJg,0,0
9,jaRDqmsxSck,0,0
11,FRtppTyaI-0,0,0
12,6utpG2rSpX0,0,0
13,UDO00wTvBtY,0,0
15,uYysPYUjKKs,0,0
17,AeyC1n726TQ,0,0
19,VOC9DbjmaCU,0,0
20,NzbN1F_OuZU,0,0
21,mQnHSJL-cZA,0,0
22,7zGVDglr2Wg,0,0
23,9o3AukS_c5c,0,0
24,mblRIS9650c,0,0
26,iIgdHuGT-8w,0,0
27,edO3W4WqzVk,0,0
28,96d02GW_oWo,0,0
29,Taj5nV2mI5M,0,0
30,Uo_YrR2u7Bc,0,0
31,8KnBSsU3LiE,0,0
32,ViU3Zg-d0R0,0,0
33,ioQYIyOuNlc,0,0
36,HgvsnOpO5jg,0,0
38,AUBGq4Y4KMs,0,0
40,5NYyp3lRaTc,0,0
41,o3y0-suC67o,0,0
43,5VkubACvw30,0,0
45,MpSyz9XmAsQ,0,0
46,ZXzC91oyAF8,0,0
48,apCccQsq92c,0,0
49,lUIJjQHXbxs,0,0
50,1y_FrD9Yi5c,0,0
52,TV4uYP0t4-Y,0,0
56,GVHqgf-MqbA,0,0
58,VjemWREFUKI,0,0
59,Sn29uUZZBRM,0,0
60,M2yl3xLse_8,0,0
61,0R2aou74yNk,0,0
62,T51poXnZv5U,0,0
65,C7MqY-s9T0A,0,0
66,6BJMVx9U_AI,0,0
67,0d6lQEEHA0w,0,0
69,Ne5kFueD33M,0,0
71,Lw5gPZBfFQ8,0,0
72,_juIhLco_E4,0,0
73,ahjYPLLyrNo,0,0
74,YPgIuaE1ODA,0,0
75,9Y52hGCVJx0,0,0
76,X92c-80AIxs,0,0
77,yAgDK0iCnn8,0,0
79,kNFFHgoDmoc,0,0
80,AU2kj5U48eI,0,0
81,IcGAp47W_yA,0,0
84,LIbSq65Wba4,0,0
85,fCSY7CNv0qQ,0,0
87,aTuREh9PqUs,0,0
88,jU6o3KVR5MI,0,0
91,rPgPkf-ToxE,0,0
93,pUh_whsOHqs,0,0
94,t4awFP30BcE,0,0
95,ydvUlxGJisQ,0,0
97,6QuJlDn8_jw,0,0
98,NNZjd1mgcdA,0,0
99,fKTDkIeTWXI,0,0
100,gqlrohQ0vIo,0,0
101,FGe04PbFooA,0,0
103,nPp_upWNexo,0,0
108,suR7QAGrd9o,0,0
109,5b9n7KpCH54,0,0
111,8hluxDmynn4,0,0
112,9RgdFX6-tbE,0,0
113,ssUdORRZJ_o,0,0
114,-NPyyA066gM,0,0
116,g5qt7oNRKcc,0,0
117,dlmffIgv_PA,0,0
118,8Ttt9PivImg,0,0
122,tuArvI7qkbk,0,0
123,SaukzhBeqnI,0,0
125,09rjBCNg2FE,0,0
126,IQ_anhDzQ70,0,0
127,G06R-sXqm-w,0,0
128,XNPDPU_39Fw,0,0
131,YKO_uDS-yn4,0,0
133,ck98IwbZo20,0,0
134,c6QOAGL76X4,0,0
135,Ldy8Zwv8knk,0,0
136,q8g9gLy7yRY,0,0
140,SHR4khN_sls,0,0
142,xbX20CX-8B0,0,0
143,3LoGnbnPv2Q,0,0
144,8WGBQp4Qzq0,0,0
145,jZxk755r2IM,0,0
146,cLsVVC8ZRaw,0,0
147,1CJKMnaJalA,0,0
148,JOlthg2zELU,0,0
151,e97xjhX3LGg,0,0
153,YarnXKozpVI,0,0
154,do3rt5AW1FQ,0,0
155,vjggVdXyKaA,0,0
156,h3qcrgSkE1Q,0,0
157,kmfr7LwQnJ4,0,0
158,BvoZqjNdr30,0,0
159,1Lq3PCXD1CM,0,0
162,D5emSg54w1U,0,0
163,hzBAboGlY-w,0,0
165,QMVRJNvwdcg,0,0
166,Ru8pLVGfkBE,0,0
169,QrJiEIPovtc,0,0
171,NNGgb-iEqXQ,0,0
175,EQc9OM8qab0,0,0
176,Q1tmkPe9fPU,0,0
177,Fzy4AkkQE6Q,0,0
179,ymVTZO7tSdQ,0,0
180,QAxTJAA3t20,0,0
181,_5A_Lw2RLXA,0,0
182,YSfsC4kqFUo,0,0
184,CamOEMZNIqY,0,0
185,8ZJiQjTTdEM,0,0
187,MjJp-wxGqE4,0,0
189,H75HqMFODFk,0,0
190,MXZcTN-O1y0,0,0
191,mHEkF_PyTwg,0,0
192,9iQ9ldIokaQ,0,0
194,JhQ0Q1QlpX0,0,0
195,ZIh8p-f2ctA,0,0
196,IrdvD_rxZRY,0,0
197,oSAspjpVW_E,0,0
198,tSI8CyJ5_xE,0,0
199,nPRsWGMJraQ,0,0
200,u6kab5G-7Kk,0,0
201,sdu5QiN73Pk,0,0
202,ZjpHwei3E6U,0,0
203,bZQcChl0JqA,0,0
207,bMA5A6nzUiE,0,0
209,64YVyovC6Xc,0,0
210,YlWVKK5fUx4,0,0
212,-Tgvr1XfZRQ,0,0
213,9GX57in-NR4,0,0
214,myCaHQslGWI,0,0
215,Y786-AhDaFM,0,0
217,aC3bsg0Grec,0,0
219,bjTIMvPcs68,0,0
221,NVRrNJ63LQk,0,0
222,0UiVDIAmFxY,0,0
223,pnVplAc10v8,0,0
225,Z8wSIGGkro8,0,0
226,aN_VpsrvfDU,0,0
227,Wi4qdqjajTQ,0,0
228,5Wfzbk2Qv_8,0,0
229,CFKn1-Gb9L0,0,0
230,hWgoR1t_4rY,0,0
231,l9e8ZYSJy54,0,0
234,2HNTuTAws4E,0,0
236,os0qimQjUms,0,0
237,9jRh6Rl8CCc,0,0
238,ThvDjhCrK8o,0,0
239,1UmyVdXu5xs,0,0
240,G-2kfgDBABQ,0,0
241,tdq8kW6kjk0,0,0
242,YWhPOojzVnQ,0,0
243,MGIflh7l5Uc,0,0
244,1O1k6Ls2UKc,0,0
245,kBjG7KQibo8,0,0
247,nrZcHpPTs3A,0,0
248,PJJrpc0XpGQ,0,0
249,dCWiRAE-agg,0,0
251,zGPJBVQ3FfA,0,0
254,BoWHtcrzYk0,0,0
257,coWMFnV21dA,0,0
258,8qux_t02ick,0,0
262,i23cs6_ZcLM,0,0
263,UxdEmuQBfoc,0,0
264,yrh_em-ETms,0,0
267,jNKVls3GAe0,0,0
268,hlyY_8MZUTI,0,0
269,lhrVjUPhyUs,0,0
271,toJRRL0M_74,0,0
272,XsOBsOM_rsM,0,0
273,7BkWj6qmr-8,0,0
275,ZMSARq58uk8,0,0
280,x0jy1hKFKD8,0,0
281,M0oauoK_i5Y,0,0
282,2mj5AV0QIcI,0,0
284,h_MOuJJ1QmY,0,0
285,tCIbucajI9M,0,0
286,ToKsr5WnHQo,0,0
287,3QICltIjz04,0,0
288,EZEM4-jR5JY,0,0
289,3_NZLZX8T2I,0,0
291,oNEwDJWVD9Y,0,0
292,rwWysfeFcXw,0,0
297,FO1SR5TnAXw,0,0
300,fz1UaA4NPZ4,0,0
301,-arBjb-sfgc,0,0
302,Ng5M_1OJevk,0,0
304,BFtTSqq_gs0,0,0
305,FJ6ppRjYmJE,0,0
307,4kB3F7T_YHs,0,0
308,nxsIXsw0RbE,0,0
309,26EfjcChm0E,0,0
310,QxlViTmq7dY,0,0
312,ydlgbkaIG7Y,0,0
314,XsKaRJxCZ6U,0,0
315,sQnwU2CrutI,0,0
316,cn51_WjvDlI,0,0
317,vR_e2Gwk06E,0,0
